date,episode,segment,model,mode,input_reference,prompt_file,seed,duration,resolution,result_path,score,status,user_feedback,issue,next_action
2026-05-17,ep001,monster_ref,ChatGPT,text-to-image,none,02_prompts/monster/snowstorm_monster_prompt_v007_living_blizzard_wall.md,none,image,1122x1402,00_references/monster/images/variations/snowstorm_monster_v008_001.png,4,draft,用户询问：这个你如何评价。,该图明显修正了上一版太像人和太友善的问题；主体更像活的暴风雪墙，压迫感、尺度感、极光蓝裂纹和漂浮冰晶都有效；问题是略偏史诗灾难片和写实奇观，喜剧短片所需的笨重可包裹感还不够明确。,保留为当前最强方向参考；下一轮在此基础上压低写实灾难感，增加慢、厚、圆、笨重、最终可被雪球包成雪人的结构提示。
2026-05-17,ep001,monster_ref_direction,none,user_feedback_prompt_revision,00_references/monster/images/variations/snowstorm_monster_v001_001.png,02_prompts/monster/snowstorm_monster_prompt_v008_v001_main_reference_refine.md,none,image,none,none,0,draft,用户纠正：最接近主参考的其实是第一张；要求继续生产 v8。,此前评价把“非人形灾害墙方向”和“主参考接近度”混淆；用户确认 v001 的雪云怪角色轮廓更接近主参考，应以 v001 为锚点继续精修，而不是继续抽象灾害墙路线。,新增 v008 prompt：基于 v001 保留雪云怪主体、蓝眼睛、云雾大嘴和模糊粗壮云臂；只增强短视频吸睛点并抑制老人脸/雪人王/友善笑脸/写实灾害墙。
2026-05-17,ep001,monster_ref,ChatGPT,text-to-image,00_references/monster/images/variations/snowstorm_monster_v001_001.png,02_prompts/monster/snowstorm_monster_prompt_v008_v001_main_reference_refine.md,none,image,1086x1448,00_references/monster/images/variations/snowstorm_monster_v009_001.png,2,discarded,用户询问如何评价；并提出现在先不要生成，而是看过去案例找问题。,该图比雪人王方向更接近怪物，但过度厚重，像云团肌肉巨人；大嘴太像恐怖空洞，双臂像拳头，画面复杂度高于 v001，说明 v008 prompt 仍被 cloud-arm/body/boss-like 等词推向人形巨怪。,暂停继续生成；新增复盘文档 09_logs/monster_design_retrospective_20260517.md；后续先整理怪物设计规格表，再决定是否继续出图。
2026-05-17,ep001,monster_ref_direction,none,user_feedback_prompt_revision,00_references/monster/images/variations/snowstorm_monster_v001_001.png,02_prompts/monster/snowstorm_monster_prompt_v010_v001_locked_refine.md,none,image,none,none,0,draft,用户提供外部 AI 回答并询问看法；核心建议是以 v001 为主参考做小幅强化，不重新发明怪物。,该回答准确指出真正问题是方向发散；下一版必须锁定 v001，只从光效、体量、蓝色内发光、冰晶漂浮和风雪氛围制造惊艳，禁止 king/crown/beard/snowman-like/wall/natural disaster 等触发跑偏的词。,已新增 02_prompts/monster/snowstorm_monster_design_spec_v001.md 和 02_prompts/monster/snowstorm_monster_prompt_v010_v001_locked_refine.md；生成前先按规格表检查。
2026-05-17,ep001,monster_ref,ChatGPT,image-to-image_with_reference,00_references/monster/images/variations/snowstorm_monster_v001_001.png,02_prompts/monster/snowstorm_monster_prompt_v010_v001_locked_refine.md,none,image,1086x1448,00_references/monster/images/variations/snowstorm_monster_v010_001.png,3,draft,用户反馈：感觉 v010 不如第一张。,该图合规但不一定更好：它保留了雪云怪主体且没有王冠胡子肌肉尖刺等跑偏元素，但整体偏白偏软，暗色暴风云体块和开场 boss 压迫感弱于 v001，表情也更像惊讶/可爱；说明“更干净更亮”不等于更适合作为主参考。,下调为普通候选；主参考优先级仍是 v001。后续如果继续，只应在 v001 上微调暗蓝风暴体块、冷蓝眼神和局部光效，避免把 v001 洗白洗软。
2026-05-17,ep001,monster_ref,ChatGPT,unknown_regenerated_image,unknown,unknown,none,image,1024x1536,00_references/monster/images/variations/snowstorm_monster_v011_001.png,4,draft,用户说明完全重新生成一张，并质疑此前误判：该图几乎和第一张一模一样。,重新读取文件后确认此前判断错误：该图不是现实照片拼贴，而是与 v001 高度接近的雪云怪候选；保留了巨大雪云身体、蓝色发光眼睛、云洞大嘴、冰晶、雪雾底座和南极场景。它比 v010 更接近 v001，但仍略偏白、冰晶冠感和手爪感比 v001 更明显。,恢复为强候选；与 v001 并排评估。主参考仍需在 v001 与 v011 之间比较，不能再按此前“技术性失败”结论处理。
2026-05-17,ep001,monster_ref,none,manual_selection,00_references/monster/images/variations/snowstorm_monster_v001_001.png,none,none,image,1086x1448,00_references/monster/images/selected/snowstorm_monster_primary_reference.png,5,selected,用户确认认可外部 GPT 意见，直接把第一张作为雪怪主参考图。,v001 的暗色风暴体块、简单怪物轮廓、蓝色发光眼、云洞大嘴和雪云身体最符合第一集暴风雪 Boss；后续不再以 v010/v011 替代主参考。,已复制为 00_references/monster/images/selected/snowstorm_monster_primary_reference.png；后续雪怪相关资产和分镜统一使用该主参考。
2026-05-17,ep001,asset_pack,none,prompt_creation,00_references/character/images/selected/gugugaga_primary_reference.png + 00_references/monster/images/selected/snowstorm_monster_primary_reference.png,02_prompts/segments/ep001_asset_pack_prompt_v001.md,none,image_pack,none,none,0,draft,用户需要依据雪怪和咕咕嘎嘎图片生成资产包提示词。,资产包应围绕已确认主参考生成，不重新设计角色和雪怪；需要覆盖角色动作、雪怪动作、道具、场景、特效和比例关系，并明确正向 Prompt 与负向 Prompt。,已新增 02_prompts/segments/ep001_asset_pack_prompt_v001.md；生成时按总资产包或拆分资产模块分别使用。
2026-05-17,ep001,asset_pack,none,prompt_revision,00_references/character/images/selected/gugugaga_primary_reference.png + 00_references/monster/images/selected/snowstorm_monster_primary_reference.png,02_prompts/segments/ep001_asset_pack_prompt_v001.md,none,image_pack,none,none,0,draft,用户反馈：不光是动作，还应该有角色设定图。,原资产包 prompt 偏重 pose/action sheet，缺少生产前必须的角色 model sheet / turnaround / 材质细节 / 比例设定，容易导致后续动作资产一致性不足。,已补充“咕咕嘎嘎角色设定图”和“雪怪设定图”独立 prompt，并把推荐流程改为先生成设定图，再生成动作、道具、场景和特效资产。
2026-05-17,ep001,asset_pack,none,folder_setup,02_prompts/segments/ep001_asset_pack_prompt_v001.md,02_prompts/segments/ep001_asset_pack_prompt_v001.md,none,image_pack,none,00_references/episode_001,0,draft,用户纠正：资产应该放进 references 里的已有抽象目录，角色资产放 character，不能改顶层设定。,此前创建 06_assets 顶层目录不符合项目既有编号结构；资产属于参考资产，应尊重 00_references/character、00_references/monster、00_references/style 等顶层抽象。,已删除 06_assets 和 00_references/assets；改为创建 00_references/character/images/model_sheets、00_references/character/images/pose_sheets、00_references/monster/images/model_sheets、00_references/monster/images/pose_sheets，以及 00_references/episode_001/ 下的 props/environments/vfx 等目录。
2026-05-17,ep001,character_model_sheet,ChatGPT,image-to-image_with_reference,00_references/character/images/selected/gugugaga_primary_reference.png,02_prompts/segments/ep001_asset_pack_prompt_v001.md,none,image,1199x1312,00_references/character/images/model_sheets/ep001_gugugaga_model_sheet_v001.png,4,draft,用户询问角色设定图怎么样，并提醒工具导致马赛克遮挡。,该图作为角色设定图整体可用：包含正面、侧面、背面、三分之四视图、表情排、围巾细节、发卡细节、企鹅 hood 细节、色板和鱼桶比例对照；角色身份、红围巾、蓝发卡、企鹅 hood 和圆滚体型都保持一致。工具预览造成的脸部马赛克不计入图像缺陷。,保留为角色设定图候选；后续若确认原图无实际遮挡，可复制到 final_selected 或继续生成更干净的 model sheet 版本。
2026-05-17,ep001,monster_model_sheet,ChatGPT,image-to-image_with_reference,00_references/monster/images/selected/snowstorm_monster_primary_reference.png,02_prompts/segments/ep001_asset_pack_prompt_v001.md,none,image,1448x1086,00_references/monster/images/model_sheets/ep001_snowstorm_monster_model_sheet_v001.png,3,draft,用户指出真正问题：雪怪比例太大，比山还大，导致无法被雪球埋住并变成雪人。,该设定图作为雪怪 model sheet 结构完整，但尺度失控：比例图把雪怪做成山脉级存在，远大于冰山和雪山，和第 6 段“巨大雪球撞向暴风雪怪并把怪物包成巨大雪人”的机制冲突。雪怪应是小动物视角下巨大，而不是山脉级巨大；应约为咕咕嘎嘎高度的 8-12 倍，并明显小于远处雪山和大型冰山。,保留为结构参考但不作为尺度参考；已更新资产包 prompt，新增雪怪尺度约束，禁止 mountain-sized monster / kaiju scale / skyscraper-sized monster，并要求补充比例校准或转化设定图。
2026-05-17,ep001,asset_pack_prompt,none,prompt_update,00_references/character/images/selected/gugugaga_primary_reference.png + 00_references/monster/images/selected/snowstorm_monster_primary_reference.png,02_prompts/segments/ep001_asset_pack_prompt_v001.md,none,prompt,none,02_prompts/segments/ep001_asset_pack_prompt_v001.md,0,draft,用户要求把剧情可能用到的动作都补进资产包，当前动作资产太少。,已按 6 个剧情段落补充动作覆盖清单，并扩展角色动作资产和雪怪动作资产：咕咕嘎嘎新增登场、转头、困惑、下决心、滑倒、旋转、撞桶、飞鱼、卷入雪球、胜利走路、再次滑倒；雪怪新增苏醒、升起、咆哮、凝聚暴风雪、攻击、困惑、发现雪球、阻挡、撞击、半包裹、最终雪人等动作。,后续建议优先单独生成角色动作 sheet 和雪怪动作 sheet，不要一次生成完整大资产包；如果版面太拥挤，可分成 Segment 01-03 与 Segment 04-06 两张动作表。
2026-05-17,ep001,keyframe_prompt,none,prompt_creation,00_references/character/images/selected/gugugaga_primary_reference.png + 00_references/character/images/model_sheets/ep001_gugugaga_model_sheet_v001.png + 00_references/character/images/pose_sheets/ep001_gugugaga_pose_sheet_v001.png + 00_references/monster/images/selected/snowstorm_monster_primary_reference.png + 00_references/monster/images/model_sheets/ep001_snowstorm_monster_model_sheet_v002_scale_corrected.png + 00_references/monster/images/pose_sheets/ep001_snowstorm_monster_pose_sheet_v001.png,03_keyframes/episode_001/ep001_keyframe_prompts_v001.md,none,prompt,16:9,03_keyframes/episode_001/ep001_keyframe_prompts_v001.md,0,draft,用户表示各项资产都有了，准备开始生成 keyframe，需要提示词和用到的资产清单。,已创建 12 张关键帧提示词：每个 10 秒段落拆成起始帧和结尾钩子帧，并为每张关键帧列出正向 Prompt、负向 Prompt、实际引用资产和尺度约束。同步将新增资产重命名为 ep001_gugugaga_pose_sheet_v001、ep001_snowstorm_monster_model_sheet_v002_scale_corrected、ep001_snowstorm_monster_pose_sheet_v001。,建议先生成 KF01A、KF02A、KF03B、KF05B、KF06B 五张核心帧验证角色一致性、雪怪尺度和结尾反转，再补齐剩余 7 张过渡帧。
2026-05-17,ep001,keyframe_folders,none,folder_setup,03_keyframes/episode_001/ep001_keyframe_prompts_v001.md,03_keyframes/episode_001/ep001_keyframe_prompts_v001.md,none,folder,16:9,03_keyframes/episode_001,0,draft,用户要求每一个关键帧都建立独立文件夹，用于存储生成文件。,已为 KF01A-KF06B 共 12 个关键帧创建独立目录，并在 ep001_keyframe_prompts_v001.md 中补充“输出目录”和“生成文件命名”规则；每个关键帧小节也增加了自己的输出目录。新增 README.md 说明目录用途和候选/选中图命名规范。,后续生成图片时按关键帧直接保存到对应目录；候选图使用 ep001_<keyframe_id>_candidate_v001.png，选中图使用 ep001_<keyframe_id>_selected.png。
2026-05-17,ep001,keyframe_prompt,none,prompt_revision,03_keyframes/episode_001/ep001_keyframe_prompts_v001.md,03_keyframes/episode_001/ep001_keyframe_prompts_v001.md,none,prompt,16:9,03_keyframes/episode_001/ep001_keyframe_prompts_v001.md,0,draft,用户指出视频尺寸应为横屏，且 KF01B 结尾不能只写雪怪准备攻击，需要具体攻击动作。,已将关键帧、剧本视频规格、分段视频 prompt、base prompt、style guide 和 prompt library 中的视频画幅统一为 16:9 横屏；将 KF01B 改为雪怪发动第一击，用蓝白暴风雪冲击击碎小冰山，明确攻击动作和因果。已把 KF01A 默认命名图整理为 03_keyframes/episode_001/KF01A_calm_antarctica/ep001_KF01A_candidate_v001.png，但该图尺寸为旧竖屏候选，不建议作为最终选中图。,后续关键帧从 KF01B 或重新生成 KF01A 开始，统一使用 16:9 横屏；旧 9:16 候选如需保留只能作为废稿参考。
2026-05-17,ep001,keyframe_prompt,none,prompt_revision,00_references/monster/images/model_sheets/ep001_snowstorm_monster_model_sheet_v002_scale_corrected.png,03_keyframes/episode_001/ep001_keyframe_prompts_v001.md + 02_prompts/segments/episode_001_segments.md,none,prompt,16:9,03_keyframes/episode_001/ep001_keyframe_prompts_v001.md,0,draft,用户指出雪怪出场必须参考比例图中的冰山比例，且第一幕开场应先是南极风平浪静，然后雪怪才出现。,已将 KF01A 改为“平静南极开场”，不出现雪怪和暴风；将 KF01B 增加雪怪比例校准设定图作为使用资产，并明确要求按该图中的冰山比例生成，雪怪不能超过大型冰山和远处雪山。同步修改剧本 Segment 01 与 episode_001_segments.md：平静开场 -> 天空变暗 -> 雪怪出现 -> 第一击击碎小冰山。,重新生成 KF01A 横屏平静开场；生成 KF01B 时必须上传 snowstorm_monster_primary_reference、ep001_snowstorm_monster_model_sheet_v002_scale_corrected 和 ep001_snowstorm_monster_pose_sheet_v001。
2026-05-17,ep001,segment01_video_test,unknown,video_generation_feedback_prompt_revision,03_keyframes/episode_001/KF01A_calm_antarctica/ep001_KF01A_candidate_v001.png + 03_keyframes/episode_001/KF01B_monster_birth/ep001_KF01B_candidate_v001.png + 03_keyframes/episode_001/KF01C_monster_first_attack/ep001_KF01C_candidate_v001.png + 00_references/monster/images/pose_sheets/ep001_snowstorm_monster_pose_sheet_v001.png,02_prompts/segments/ep001_segment01_one_shot_video_prompt_v002.md + 03_keyframes/episode_001/ep001_keyframe_prompts_v002_continuity_rebuild.md,none,video_test,16:9,未保存路径,1,discarded,用户反馈：第一版视频问题严重，前三张关键帧背景不一致，视频在节点处生硬切换；多格雪怪动作图没有被有效参考；雪怪诞生只是从冰山后升起，出场太简单。,核心问题是把三张背景不一致的图作为严格关键帧锚点，视频模型无法自然补间，只能硬切；多格 pose sheet 对视频动作控制弱，容易被忽略；雪怪诞生缺少风暴云团聚集、雪雾、冰晶和蓝光形成的特效过程。,改用单一母场景一镜到底流程：以 KF01A 为场景锚点，重做同构图 KF01B/KF01C v002；视频生成优先只上传 KF01A、雪怪主参考和比例参考，用时间轴描述风暴形成与第一次攻击。
2026-05-17,ep001,production_methodology,none,workflow_decision,00_references/monster/images/pose_sheets/ep001_snowstorm_monster_pose_sheet_v001.png,09_logs/decision_log.md,none,workflow,none,09_logs/decision_log.md,0,draft,用户追问：动作图是否并不应该是合理方法论中的一环。,判断为动作图不应作为 AI 视频生成的核心必备环节；多格动作 sheet 对视频动作控制弱，容易被忽略或误解为拼贴/分屏，并可能增加参考噪声。,将动作图降级为可选参考资产；视频动作控制优先使用单一母场景、起止帧连续性、时间轴动作描述、因果链和 VFX 分层描述。
2026-05-17,ep001,keyframe_continuity_strategy,none,workflow_decision,03_keyframes/episode_001/KF01A_calm_antarctica/ep001_KF01A_candidate_v001.png + 03_keyframes/episode_001/KF01B_monster_birth/ep001_KF01B_candidate_v001.png + 03_keyframes/episode_001/KF01C_monster_first_attack/ep001_KF01C_candidate_v001.png,03_keyframes/episode_001/ep001_keyframe_prompts_v002_continuity_rebuild.md,none,workflow,16:9,09_logs/decision_log.md,0,draft,用户询问：当前几张关键帧背景不一致，是否要修改生成一个一致的。,当前 KF01A/KF01B/KF01C 背景、机位、天空和冰山布局不一致，不适合作为视频关键帧锚点；继续使用会导致节点硬切。,确认需要统一背景：以 KF01A 作为母场景，锁定机位、冰山、远山、水面、鱼桶和动物区域；用图生图/variation 派生 KF01B v002 与 KF01C v002，只改变天气、雪怪形成和攻击特效。
2026-05-17,ep001,segment01_progressive_birth_prompt,none,prompt_revision,用户提供外部建议：背景母版 + 递进式雪怪生成 + 6 个连续关键帧,03_keyframes/episode_001/ep001_keyframe_prompts_v003_progressive_monster_birth.md + 02_prompts/segments/ep001_segment01_progressive_birth_video_prompt_v003.md + 02_prompts/segments/episode_001_segments.md,none,prompt,16:9,03_keyframes/episode_001/KF01A_master_calm_antarctica + 03_keyframes/episode_001/KF01B_crisis_start + 03_keyframes/episode_001/KF01C_monster_forming + 03_keyframes/episode_001/KF01D_monster_half_formed + 03_keyframes/episode_001/KF01E_monster_reveal_attack_ready + 03_keyframes/episode_001/KF01F_monster_first_attack,0,draft,用户反馈：外部建议比当前方案更好，要求按该建议修改；核心是背景连续性不够，雪怪出场太结果导向，需要拆成渐进式生成特效镜头。,原方案仍偏 3 个大节点，雪怪诞生不够细，缺少平静、异变、风雪聚合、蓝眼出现、半成型、完整现身、首次攻击的连续递进。,已升级为 v003：新增 6 个连续关键帧目录和 prompt；后续先生成背景母版 Shot A，再基于母版连续改图生成 Shot B-F，最后用 v003 视频 prompt 做 10 秒连续镜头。
2026-05-17,ep001,asset_pack_prompt_library,none,prompt_organization,02_prompts/segments/ep001_asset_pack_prompt_v001.md,02_prompts/prompt_library.md,none,prompt,none,02_prompts/prompt_library.md,0,draft,用户询问之前生成资产的 prompt 放在哪里，并要求放进 prompts 文件。,资产包 prompt 原本只在 02_prompts/segments/ep001_asset_pack_prompt_v001.md，入口不够直观，用户难以在 prompt library 中找到。,已将完整 Episode 001 Asset Pack Prompt v001 同步追加到 02_prompts/prompt_library.md，并保留原始来源路径。
2026-05-17,project,failure_methodology_system,none,workflow_decision,09_logs/decision_log.md + 09_logs/generation_log.csv,09_logs/video_generation_methodology.md,none,workflow,none,09_logs/video_generation_methodology.md,0,draft,用户要求：每一次失败都要总结成方法论，给后面其他视频流程的生成做参考。,此前失败复盘分散在 decision_log 和 generation_log 中，缺少一个面向后续视频生产的通用方法论文档。,已新增 09_logs/video_generation_methodology.md，按失败现象、根因判断、沉淀方法论、生成前检查项、影响文件的格式沉淀复用规则；后续每次失败都同步更新该文件。
2026-05-17,ep001,prompt_methodology_unseen_character_anchor,none,methodology_fix_prompt_revision,09_logs/video_generation_methodology.md#L100-L103,09_logs/video_generation_methodology.md + 09_logs/decision_log.md + 03_keyframes/episode_001/ep001_keyframe_prompts_v003_progressive_monster_birth.md + 02_prompts/segments/ep001_segment01_progressive_birth_video_prompt_v003.md,none,prompt,16:9,09_logs/video_generation_methodology.md,0,draft,用户指出：方法论里又用咕咕嘎嘎高度描述雪怪比例，但咕咕嘎嘎在雪怪出场段落尚未出场；描述提示词时禁止出现还没有出场的人物，否则会误导模型。,把未出场人物作为比例尺或提示词锚点，会让模型提前生成该人物，或把隐藏角色当作构图参考，导致剧情顺序和画面内容被污染。,已新增“禁止用未出场人物做提示词锚点”方法论；剧情镜头只引用当前镜头合法对象。已修正 v003 雪怪出场关键帧和视频 prompt 中的咕咕嘎嘎比例描述。
2026-05-17,project,prompt_copy_format_rule,none,workflow_decision_prompt_revision,用户要求：负面提示词直接在开头带 Avoid:，正面和负面提示词写一块方便一次复制,09_logs/video_generation_methodology.md + 09_logs/decision_log.md + 02_prompts/segments/ep001_segment01_progressive_birth_video_prompt_v003.md,none,workflow,none,02_prompts/segments/ep001_segment01_progressive_birth_video_prompt_v003.md,0,draft,用户要求：以后生成负面提示词直接在开头带 Avoid:，正向提示词和负向提示词不分开，写成一块方便一次复制。,此前 prompt 文件把正向 Prompt、负向 Prompt 和无负向输入框版本拆开，用户使用时需要手动拼接，增加复制成本。,已将 v003 第一段视频 prompt 改为“一键复制 Prompt（正向内容 + Avoid 负向约束）”；后续默认交付一体化可复制文本块，末尾自带 Avoid:。
2026-05-17,ep001,keyframe_prompt_copy_format_v003,none,prompt_format_revision,03_keyframes/episode_001/ep001_keyframe_prompts_v003_progressive_monster_birth.md,03_keyframes/episode_001/ep001_keyframe_prompts_v003_progressive_monster_birth.md,none,prompt,16:9,03_keyframes/episode_001/ep001_keyframe_prompts_v003_progressive_monster_birth.md,0,draft,用户要求：关键帧生成的部分也改成正向内容和 Avoid 负向约束写在一块，方便一次复制。,关键帧 v003 文件仍然按“正向 Prompt / 负向 Prompt”拆分，每个 Shot 使用时需要手动拼接，不符合新的 prompt 一键复制格式规则。,已将 Shot A-F 全部改为“一键复制 Prompt（正向内容 + Avoid 负向约束）”，每个 Shot 末尾自带 Avoid:；移除单独负向 Prompt 段落。
2026-05-17,ep001,monster_model_sheet,ChatGPT,image_generation_prompt_archival,00_references/monster/images/selected/snowstorm_monster_primary_reference.png,02_prompts/prompt_library.md,none,image,1024x768,00_references/monster/images/model_sheets/ep001_snowstorm_monster_model_sheet_v003_production.png,5,selected,用户确认：这张图选定为雪怪设定图，不是主参考图；prompt 应直接写入 prompt_library.md，不单独起文件。,v003 雪怪设定图作为 production model sheet 更好：多视图、材质细节、比例 lineup 清楚；但它不是主参考图，不能替换 snowstorm_monster_primary_reference.png。此前单独创建 prompt 文件造成入口混乱。,已删除独立 prompt 文件；完整 prompt 已内联到 02_prompts/prompt_library.md；主参考保持 00_references/monster/images/selected/snowstorm_monster_primary_reference.png，v003 仅作为选定雪怪设定图使用。
2026-05-18,ep001,segment01_attack_keyframe_01,builtin_image_gen,image_generation_with_reference,monster_model_sheet_v003 + KF01E_full_body + KF01F_previous_attack,02_prompts/segments/ep001_segment01_attack_vortex_ray_prompt_v001_zh.md,none,image,1672x941,03_keyframes/episode_001/KF01F_monster_first_attack/ep001_KF01F_01_vortex_charge_candidate_v001.png,4,draft,用户要求：开始生成雪怪肚子漩涡聚集能量并发射射线的几个关键帧和 prompt；后续 prompt 默认中文。,新方法论要求攻击前腹部漩涡先明显聚能；本帧用于表现漩涡开始变亮和冰蓝星尘螺旋吸入。,后续可用作攻击段故事板第一阶段：漩涡开始聚能但还不发射。
